id,state,number,sub_unit,work_unit,dev_name,start_time,end_time,voltage_level
103,调度值班执行停电工作票,ZJN-20250314-021,国网浙江宁波供电公司,线路,雁宁4P54线,2025-03-28 07:00:00,2025-04-02 18:00:00,220kV
104,调度值班执行停电工作票,ZJN-20250314-022,国网浙江宁波供电公司,宁海变电所,"220kV正母Ⅰ段,1号主变220kV开关",2025-03-28 07:00:00,2025-04-02 18:00:00,220kV
105,调度值班执行停电工作票,ZJN-20250314-024,国网浙江宁波供电公司,线路,宁龙4P50线,2025-03-28 07:00:00,2025-04-02 18:00:00,220kV
106,调度值班执行停电工作票,ZJN-20250314-026,国网浙江宁波供电公司,线路,宁跃4P49线,2025-03-28 07:00:00,2025-04-02 18:00:00,220kV
107,调度值班执行停电工作票,ZJN-20250317-047,国网浙江温州供电公司,线路,瓯仙4352线,2025-03-28 07:00:00,2025-04-09 20:00:00,220kV
108,调度值班执行停电工作票,ZJN-20250321-010,国网浙江温州供电公司,瑞仙变,#2主变,2025-03-28 07:00:00,2025-04-08 18:00:00,220kV
109,调度值班执行停电工作票,ZJN-20250327-015,浙江电力调度控制中心,镇海厂,220kV#3母联开关,2025-03-28 06:00:00,2025-04-03 18:00:00,220kV
110,调度值班执行停电工作票,ZJN-20250318-003,玉环厂,玉环厂,玉屿5408线,2025-03-28 06:00:00,2025-04-15 21:00:00,500kV
111,调度值班执行停电工作票,ZJN-20250318-002,玉环厂,玉环厂,玉麦5407线,2025-03-28 06:00:00,2025-04-15 21:00:00,500kV
112,调度值班执行停电工作票,ZJN-20250314-030,国网浙江台州供电公司,麦屿变电所,"500kVⅡ母线,玉麦5407线,玉屿5408线,2号主变",2025-03-28 06:00:00,2025-04-15 21:00:00,500kV
113,调度值班执行停电工作票,ZJN-20250314-031,国网浙江台州供电公司,线路,"玉屿5408线,玉麦5407线",2025-03-28 06:00:00,2025-04-15 21:00:00,500kV
114,调度值班执行停电工作票,ZJN-20250321-015,长二厂,长二厂,#4机组,2025-03-27 09:00:00,2025-03-29 16:00:00,220kV
115,调度值班执行停电工作票,ZJN-20250310-018,国网浙江金华供电公司,芝堰变电所,堰松4Q12线,2025-03-27 08:00:00,2025-04-09 23:00:00,220kV
116,调度值班执行停电工作票,ZJN-20250324-004,台州厂,台州厂,#03A高压备变,2025-03-27 07:00:00,2025-04-07 20:00:00,220kV
117,调度值班执行停电工作票,ZJN-20250310-036,国网浙江金华供电公司,线路,堰松4Q12线,2025-03-27 07:00:00,2025-04-09 19:00:00,220kV
118,调度值班执行停电工作票,ZJN-20250318-028,国网浙江杭州供电公司,线路,岗杭2P11线,2025-03-27 07:00:00,2025-04-06 18:00:00,220kV
119,调度值班执行停电工作票,ZJN-20250318-029,国网浙江杭州供电公司,杭州变电所,岗杭2P11线,2025-03-27 07:00:00,2025-04-06 17:00:00,220kV
120,调度值班执行停电工作票,ZJN-20250318-033,国网浙江杭州供电公司,岗阳变,岗杭2P11线,2025-03-27 07:00:00,2025-04-06 20:30:00,220kV
121,调度值班执行停电工作票,ZJN-20250320-001,国网浙江杭州供电公司,严州变电所,后州44K5线,2025-03-27 07:00:00,2025-04-12 17:00:00,220kV
122,调度值班执行停电工作票,ZJN-20250320-002,国网浙江杭州供电公司,线路,后州44K5线,2025-03-27 07:00:00,2025-04-12 18:00:00,220kV
123,调度值班执行停电工作票,ZJN-20250320-003,国网浙江杭州供电公司,线路,州后2R69线,2025-03-27 07:00:00,2025-04-12 18:00:00,220kV
124,调度值班执行停电工作票,ZJN-20250320-004,国网浙江杭州供电公司,后浦变,后州44K5线,2025-03-27 07:00:00,2025-04-12 20:30:00,220kV
125,调度值班执行停电工作票,ZJN-20250320-005,国网浙江杭州供电公司,线路,堰松4Q12线,2025-03-27 07:00:00,2025-04-09 19:00:00,220kV
126,调度值班执行停电工作票,ZJN-20250320-006,国网浙江杭州供电公司,万松变,堰松4Q12线,2025-03-27 07:00:00,2025-04-09 19:00:00,220kV
127,调度值班执行停电工作票,ZJN-20250311-003,强蛟厂,强蛟厂,"强州线/4号主变5032开关,4号主变5033开关",2025-03-27 06:00:00,2025-04-03 21:00:00,500kV
128,调度值班执行停电工作票,ZJN-20250319-021,国网浙江台州供电公司,广文变,"回文4P84线,220kV副母线",2025-03-27 06:00:00,2025-03-31 23:00:00,220kV
129,调度值班执行停电工作票,ZJN-20250319-024,国网浙江台州供电公司,线路,回文4P84线,2025-03-27 06:00:00,2025-04-02 20:00:00,220kV
130,调度值班执行停电工作票,ZJN-20250319-026,国网浙江台州供电公司,回浦变电所,回文4P84线,2025-03-27 06:00:00,2025-04-02 21:00:00,220kV
131,调度值班执行停电工作票,ZJN-20250320-068,盛林站,盛林站,"#2机组,#3机组,#4机组,#1机组",2025-03-26 21:00:00,2025-04-03 18:00:00,110kV
132,调度值班执行停电工作票,ZJN-20250320-064,禾海风电场,禾海风电,"#1风机,#2动态无功补偿装置,#1动态无功补偿装置",2025-03-26 08:00:00,2025-03-31 18:00:00,220kV
133,调度值班执行停电工作票,ZJN-20250321-023,国网浙江舟山供电公司,蓬莱变,"待用2PLⅡ副母闸刀,待用2PLⅡ正母闸刀,长蓬24X5开关",2025-03-26 08:00:00,2025-04-03 17:00:00,220kV
134,调度值班执行停电工作票,ZJN-20250321-024,国网浙江舟山供电公司,蓬莱变,#3主变,2025-03-26 08:00:00,2025-04-03 17:00:00,220kV
135,调度值班执行停电工作票,ZJN-20250311-053,国网浙江湖州供电公司,线路,湖安Ⅱ线,2025-03-26 06:00:00,2025-04-01 21:00:00,1000kV
136,调度值班执行停电工作票,ZJN-20250319-013,国网浙江省电力有限公司超高压分公司,安吉站,湖安Ⅱ线,2025-03-26 06:00:00,2025-04-01 21:00:00,1000kV
137,调度值班执行停电工作票,ZJN-20250319-012,国网浙江省电力有限公司超高压分公司,安吉站,"T033开关,T032开关",2025-03-26 06:00:00,2025-04-01 21:00:00,1000kV
138,调度值班执行停电工作票,ZJN-20250321-002,曹娥江,曹娥江,#3机组,2025-03-26 00:00:00,2025-06-09 23:45:00,220kV
139,调度值班执行停电工作票,ZJN-20250318-022,北仑厂,北仑厂,7号主变,2025-03-25 08:00:00,2025-06-03 20:00:00,500kV
140,调度值班执行停电工作票,ZJN-20250313-059,国网浙江宁波供电公司,句章变电所,章水4R46线,2025-03-25 07:00:00,2025-04-03 18:00:00,220kV
141,调度值班执行停电工作票,ZJN-20250313-060,国网浙江宁波供电公司,水云变,章水4R46线,2025-03-25 07:00:00,2025-04-03 18:00:00,220kV
142,调度值班执行停电工作票,ZJN-20250313-061,国网浙江宁波供电公司,线路,章水4R46线,2025-03-25 07:00:00,2025-04-03 18:00:00,220kV
143,调度值班执行停电工作票,ZJN-20250318-021,北仑厂,北仑厂,7号机组,2025-03-25 00:15:00,2025-06-12 23:45:00,500kV
144,调度值班执行停电工作票,ZJN-20250317-050,六横厂,六横厂,#2机组,2025-03-25 00:15:00,2025-05-03 23:45:00,500kV
145,调度值班执行停电工作票,ZJN-20250312-008,登步光伏站,登步光伏站,#1等值机,2025-03-24 08:00:00,2025-04-15 18:00:00,110kV
146,调度值班执行停电工作票,ZJN-20250315-007,唐屿光伏站,唐屿光伏站,"#2发电机,#1发电机",2025-03-24 08:00:00,2025-04-11 18:00:00,110kV
147,调度值班执行停电工作票,ZJN-20250320-049,嘉光站,嘉光站,"#12发电机,#13发电机,#14发电机,#15发电机,#16发电机,#11发电机",2025-03-24 08:00:00,2025-04-24 20:00:00,10kV
148,调度值班执行停电工作票,ZJN-20250304-043,珊溪厂,珊溪厂,4号机组,2025-03-24 07:00:00,2025-04-03 22:00:00,220kV
149,调度值班执行停电工作票,ZJN-20250319-002,国网浙江绍兴供电公司,线路,古安4Q82线,2025-03-24 07:00:00,2025-04-01 20:00:00,220kV
150,调度值班执行停电工作票,ZJN-20250312-045,国网浙江台州供电公司,线路,"塘桥4336线,塘高4335线",2025-03-24 06:00:00,2025-04-07 20:00:00,220kV
151,调度值班执行停电工作票,ZJN-20250317-031,台州厂,台州厂,#8主变,2025-03-24 00:15:00,2025-05-14 23:45:00,220kV
